threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,4373,0.0838,1.0,0.1546
0.1,400,1621,0.1979,1.0,0.3304
0.15,400,652,0.3802,1.0,0.551
0.2,399,303,0.5684,0.9975,0.7241
0.25,396,164,0.7071,0.99,0.825
0.3,393,79,0.8326,0.9825,0.9014
0.35,387,50,0.8856,0.9675,0.9247
0.4,377,33,0.9195,0.9425,0.9309
0.45,371,23,0.9416,0.9275,0.9345
0.5,363,15,0.9603,0.9075,0.9332
0.55,357,8,0.9781,0.8925,0.9333
0.6,347,8,0.9775,0.8675,0.9192
0.65,335,0,1.0,0.8375,0.9116
0.7,325,0,1.0,0.8125,0.8966
0.75,305,0,1.0,0.7625,0.8652
0.8,292,0,1.0,0.73,0.8439
0.85,280,0,1.0,0.7,0.8235
0.9,270,0,1.0,0.675,0.806
0.95,248,0,1.0,0.62,0.7654
1.0,235,0,1.0,0.5875,0.7402
