dir,n_runs,threshold,fp_hits,candidate_pairs
runs/corpus_all,40,0.05,1874,91378
runs/corpus_all,40,0.1,480,91378
runs/corpus_all,40,0.15,219,91378
runs/corpus_all,40,0.2,43,91378
runs/corpus_all,40,0.25,20,91378
runs/corpus_all,40,0.3,8,91378
runs/corpus_all,40,0.35,5,91378
runs/corpus_all,40,0.4,3,91378
runs/corpus_all,40,0.45,3,91378
runs/corpus_all,40,0.5,3,91378
runs/corpus_all,40,0.55,3,91378
runs/corpus_all,40,0.6,2,91378
runs/corpus_all,40,0.65,1,91378
runs/corpus_all,40,0.7,0,91378
runs/corpus_all,40,0.75,0,91378
runs/corpus_all,40,0.8,0,91378
runs/corpus_all,40,0.85,0,91378
runs/corpus_all,40,0.9,0,91378
runs/corpus_all,40,0.95,0,91378
runs/corpus_all,40,1.0,0,91378
runs/a0,8,0.05,6,1036
runs/a0,8,0.1,4,1036
runs/a0,8,0.15,2,1036
runs/a0,8,0.2,0,1036
runs/a0,8,0.25,0,1036
runs/a0,8,0.3,0,1036
runs/a0,8,0.35,0,1036
runs/a0,8,0.4,0,1036
runs/a0,8,0.45,0,1036
runs/a0,8,0.5,0,1036
runs/a0,8,0.55,0,1036
runs/a0,8,0.6,0,1036
runs/a0,8,0.65,0,1036
runs/a0,8,0.7,0,1036
runs/a0,8,0.75,0,1036
runs/a0,8,0.8,0,1036
runs/a0,8,0.85,0,1036
runs/a0,8,0.9,0,1036
runs/a0,8,0.95,0,1036
runs/a0,8,1.0,0,1036
