dir,n_runs,threshold,fp_hits,candidate_pairs
data/runs/corpus_all,40,0.05,9057,164395
data/runs/corpus_all,40,0.1,4053,164395
data/runs/corpus_all,40,0.15,2300,164395
data/runs/corpus_all,40,0.2,1500,164395
data/runs/corpus_all,40,0.25,1057,164395
data/runs/corpus_all,40,0.3,783,164395
data/runs/corpus_all,40,0.35,524,164395
data/runs/corpus_all,40,0.4,370,164395
data/runs/corpus_all,40,0.45,246,164395
data/runs/corpus_all,40,0.5,164,164395
data/runs/corpus_all,40,0.55,95,164395
data/runs/corpus_all,40,0.6,65,164395
data/runs/corpus_all,40,0.65,39,164395
data/runs/corpus_all,40,0.7,21,164395
data/runs/corpus_all,40,0.75,14,164395
data/runs/corpus_all,40,0.8,8,164395
data/runs/corpus_all,40,0.85,3,164395
data/runs/corpus_all,40,0.9,0,164395
data/runs/corpus_all,40,0.95,0,164395
data/runs/corpus_all,40,1.0,0,164395
data/runs/a0,8,0.05,40,1702
data/runs/a0,8,0.1,27,1702
data/runs/a0,8,0.15,18,1702
data/runs/a0,8,0.2,14,1702
data/runs/a0,8,0.25,14,1702
data/runs/a0,8,0.3,12,1702
data/runs/a0,8,0.35,12,1702
data/runs/a0,8,0.4,12,1702
data/runs/a0,8,0.45,12,1702
data/runs/a0,8,0.5,11,1702
data/runs/a0,8,0.55,10,1702
data/runs/a0,8,0.6,8,1702
data/runs/a0,8,0.65,8,1702
data/runs/a0,8,0.7,8,1702
data/runs/a0,8,0.75,8,1702
data/runs/a0,8,0.8,5,1702
data/runs/a0,8,0.85,4,1702
data/runs/a0,8,0.9,0,1702
data/runs/a0,8,0.95,0,1702
data/runs/a0,8,1.0,0,1702
data/runs/a0_long,8,0.05,998,13824
data/runs/a0_long,8,0.1,598,13824
data/runs/a0_long,8,0.15,434,13824
data/runs/a0_long,8,0.2,335,13824
data/runs/a0_long,8,0.25,283,13824
data/runs/a0_long,8,0.3,216,13824
data/runs/a0_long,8,0.35,174,13824
data/runs/a0_long,8,0.4,141,13824
data/runs/a0_long,8,0.45,127,13824
data/runs/a0_long,8,0.5,112,13824
data/runs/a0_long,8,0.55,102,13824
data/runs/a0_long,8,0.6,91,13824
data/runs/a0_long,8,0.65,87,13824
data/runs/a0_long,8,0.7,79,13824
data/runs/a0_long,8,0.75,70,13824
data/runs/a0_long,8,0.8,63,13824
data/runs/a0_long,8,0.85,52,13824
data/runs/a0_long,8,0.9,37,13824
data/runs/a0_long,8,0.95,24,13824
data/runs/a0_long,8,1.0,10,13824
