threshold,tp_cases,fp_hits,precision,recall,f1
0.05,285,2483,0.103,1.0,0.1867
0.1,284,602,0.3205,0.9965,0.4851
0.15,284,370,0.4343,0.9965,0.6049
0.2,284,95,0.7493,0.9965,0.8554
0.25,284,50,0.8503,0.9965,0.9176
0.3,279,31,0.9,0.9789,0.9378
0.35,279,21,0.93,0.9789,0.9538
0.4,276,16,0.9452,0.9684,0.9567
0.45,272,16,0.9444,0.9544,0.9494
0.5,266,15,0.9466,0.9333,0.9399
0.55,257,8,0.9698,0.9018,0.9345
0.6,253,6,0.9768,0.8877,0.9301
0.65,249,5,0.9803,0.8737,0.9239
0.7,241,4,0.9837,0.8456,0.9094
0.75,232,3,0.9872,0.814,0.8923
0.8,220,1,0.9955,0.7719,0.8696
0.85,210,1,0.9953,0.7368,0.8468
0.9,200,1,0.995,0.7018,0.823
0.95,191,1,0.9948,0.6702,0.8008
1.0,175,0,1.0,0.614,0.7609
