threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,3112,0.1139,1.0,0.2045
0.1,400,1023,0.2811,1.0,0.4388
0.15,400,353,0.5312,1.0,0.6938
0.2,400,93,0.8114,1.0,0.8959
0.25,400,32,0.9259,1.0,0.9615
0.3,394,5,0.9875,0.985,0.9862
0.35,388,0,1.0,0.97,0.9848
0.4,378,0,1.0,0.945,0.9717
0.45,370,0,1.0,0.925,0.961
0.5,364,0,1.0,0.91,0.9529
0.55,359,0,1.0,0.8975,0.946
0.6,348,0,1.0,0.87,0.9305
0.65,336,0,1.0,0.84,0.913
0.7,325,0,1.0,0.8125,0.8966
0.75,312,0,1.0,0.78,0.8764
0.8,299,0,1.0,0.7475,0.8555
0.85,284,0,1.0,0.71,0.8304
0.9,271,0,1.0,0.6775,0.8077
0.95,251,0,1.0,0.6275,0.7711
1.0,225,0,1.0,0.5625,0.72
