threshold,tp_cases,fp_hits,precision,recall,f1
0.05,285,1963,0.1268,1.0,0.225
0.1,284,409,0.4098,0.9965,0.5808
0.15,284,251,0.5308,0.9965,0.6927
0.2,284,22,0.9281,0.9965,0.9611
0.25,284,0,1.0,0.9965,0.9982
0.3,279,0,1.0,0.9789,0.9894
0.35,279,0,1.0,0.9789,0.9894
0.4,276,0,1.0,0.9684,0.984
0.45,272,0,1.0,0.9544,0.9767
0.5,266,0,1.0,0.9333,0.9655
0.55,257,0,1.0,0.9018,0.9483
0.6,253,0,1.0,0.8877,0.9405
0.65,249,0,1.0,0.8737,0.9326
0.7,241,0,1.0,0.8456,0.9163
0.75,232,0,1.0,0.814,0.8975
0.8,220,0,1.0,0.7719,0.8713
0.85,210,0,1.0,0.7368,0.8485
0.9,200,0,1.0,0.7018,0.8247
0.95,191,0,1.0,0.6702,0.8025
1.0,175,0,1.0,0.614,0.7609
