artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,reformatted,5,0.2,0.493,0.274
code,25,truncated,5,0.0,0.497,0.342
code,25,verbatim,5,0.6,0.753,0.509
code,50,reformatted,5,0.4,0.712,0.548
code,50,truncated,5,1.0,0.843,0.806
code,50,verbatim,5,1.0,0.96,0.8
code,100,reformatted,5,0.4,0.774,0.689
code,100,truncated,5,1.0,0.966,0.831
code,100,verbatim,5,1.0,0.97,0.85
code,200,reformatted,5,1.0,0.887,0.815
code,200,truncated,5,0.6,0.88,0.7
code,200,verbatim,5,1.0,0.97,0.85
code,500,reformatted,5,1.0,0.985,0.925
code,500,truncated,5,1.0,0.98,0.9
code,500,verbatim,5,1.0,1.0,1.0
prose,25,reformatted,5,0.8,0.881,0.6
prose,25,truncated,5,0.2,0.648,0.5
prose,25,verbatim,5,1.0,0.969,0.95
prose,50,reformatted,5,1.0,0.95,0.85
prose,50,truncated,5,0.6,0.83,0.65
prose,50,verbatim,5,1.0,0.99,0.95
prose,100,reformatted,5,1.0,1.0,1.0
prose,100,truncated,5,0.8,0.94,0.7
prose,100,verbatim,5,1.0,0.96,0.8
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,reformatted,5,0.4,0.687,0.548
structured,25,truncated,5,0.4,0.56,0.297
structured,25,verbatim,5,0.4,0.792,0.675
structured,50,reformatted,5,1.0,0.961,0.804
structured,50,truncated,5,0.6,0.785,0.737
structured,50,verbatim,5,1.0,0.961,0.804
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,1.0,1.0
structured,100,verbatim,5,1.0,1.0,1.0
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,0.8,0.83,0.15
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,reformatted,5,0.2,0.586,0.3
terse,25,truncated,5,0.0,0.356,0.25
terse,25,verbatim,5,0.2,0.638,0.425
terse,50,reformatted,5,0.0,0.593,0.4
terse,50,truncated,5,0.2,0.726,0.475
terse,50,verbatim,5,0.6,0.865,0.55
terse,100,reformatted,5,0.6,0.77,0.623
terse,100,truncated,5,1.0,0.94,0.85
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
