artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,1.0,0.436,0.207
code,25,reformatted,5,1.0,0.539,0.219
code,25,truncated,5,1.0,0.396,0.318
code,25,verbatim,5,1.0,0.762,0.4
code,50,paraphrased,5,1.0,0.634,0.2
code,50,reformatted,5,1.0,0.903,0.808
code,50,truncated,5,1.0,0.784,0.593
code,50,verbatim,5,1.0,0.98,0.898
code,100,paraphrased,5,1.0,0.7,0.357
code,100,reformatted,5,1.0,0.96,0.883
code,100,truncated,5,1.0,0.988,0.94
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.751,0.622
code,200,reformatted,5,1.0,0.996,0.98
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.873,0.7
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,1.0,0.557,0.304
prose,25,reformatted,5,1.0,0.542,0.2
prose,25,truncated,5,1.0,0.523,0.225
prose,25,verbatim,5,1.0,0.64,0.45
prose,50,paraphrased,5,1.0,0.552,0.358
prose,50,reformatted,5,1.0,0.747,0.563
prose,50,truncated,5,1.0,0.717,0.375
prose,50,verbatim,5,1.0,0.917,0.725
prose,100,paraphrased,5,1.0,0.573,0.375
prose,100,reformatted,5,1.0,0.963,0.875
prose,100,truncated,5,1.0,0.935,0.675
prose,100,verbatim,5,1.0,0.935,0.675
prose,200,paraphrased,5,1.0,0.917,0.65
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,paraphrased,5,1.0,0.975,0.895
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,0.8,0.433,0.172
structured,25,reformatted,5,1.0,0.65,0.328
structured,25,truncated,5,1.0,0.361,0.242
structured,25,verbatim,5,1.0,0.544,0.347
structured,50,paraphrased,5,1.0,0.743,0.468
structured,50,reformatted,5,1.0,0.968,0.896
structured,50,truncated,5,1.0,0.762,0.569
structured,50,verbatim,5,1.0,0.919,0.747
structured,100,paraphrased,5,1.0,0.76,0.547
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.965,0.842
structured,100,verbatim,5,1.0,0.992,0.958
structured,200,paraphrased,5,1.0,0.845,0.63
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.848,0.636
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,0.984,0.96
terse,25,paraphrased,5,1.0,0.656,0.4
terse,25,reformatted,5,1.0,0.729,0.484
terse,25,truncated,5,1.0,0.588,0.475
terse,25,verbatim,5,1.0,0.592,0.354
terse,50,paraphrased,5,1.0,0.728,0.551
terse,50,reformatted,5,1.0,0.93,0.85
terse,50,truncated,5,1.0,0.985,0.927
terse,50,verbatim,5,1.0,0.978,0.889
terse,100,paraphrased,5,1.0,0.972,0.925
terse,100,reformatted,5,1.0,0.99,0.95
terse,100,truncated,5,1.0,0.997,0.984
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.931,0.803
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.984,0.919
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
