artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,0.4,0.44,0.197
code,25,reformatted,5,0.4,0.538,0.231
code,25,truncated,5,0.0,0.399,0.318
code,25,verbatim,5,0.8,0.759,0.4
code,50,paraphrased,5,0.8,0.659,0.322
code,50,reformatted,5,1.0,0.915,0.824
code,50,truncated,5,1.0,0.799,0.585
code,50,verbatim,5,1.0,0.981,0.903
code,100,paraphrased,5,0.8,0.75,0.4
code,100,reformatted,5,1.0,0.962,0.884
code,100,truncated,5,1.0,1.0,1.0
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.834,0.691
code,200,reformatted,5,1.0,1.0,1.0
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.882,0.73
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,0.6,0.548,0.333
prose,25,reformatted,5,0.8,0.694,0.225
prose,25,truncated,5,0.8,0.628,0.25
prose,25,verbatim,5,1.0,0.851,0.725
prose,50,paraphrased,5,0.4,0.576,0.43
prose,50,reformatted,5,1.0,0.808,0.587
prose,50,truncated,5,1.0,0.86,0.667
prose,50,verbatim,5,1.0,1.0,1.0
prose,100,paraphrased,5,1.0,0.68,0.5
prose,100,reformatted,5,1.0,0.989,0.947
prose,100,truncated,5,1.0,1.0,1.0
prose,100,verbatim,5,1.0,1.0,1.0
prose,200,paraphrased,5,1.0,0.945,0.796
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,paraphrased,5,1.0,0.994,0.968
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,0.4,0.438,0.219
structured,25,reformatted,5,0.8,0.619,0.3
structured,25,truncated,5,0.0,0.362,0.267
structured,25,verbatim,5,0.4,0.532,0.364
structured,50,paraphrased,5,0.8,0.745,0.457
structured,50,reformatted,5,1.0,0.988,0.939
structured,50,truncated,5,1.0,0.772,0.58
structured,50,verbatim,5,1.0,0.922,0.747
structured,100,paraphrased,5,1.0,0.771,0.527
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.964,0.831
structured,100,verbatim,5,1.0,0.992,0.962
structured,200,paraphrased,5,1.0,0.836,0.632
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.84,0.617
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,0.8,0.67,0.392
terse,25,reformatted,5,0.8,0.722,0.485
terse,25,truncated,5,1.0,0.639,0.566
terse,25,verbatim,5,0.8,0.651,0.329
terse,50,paraphrased,5,1.0,0.753,0.557
terse,50,reformatted,5,1.0,0.957,0.884
terse,50,truncated,5,1.0,0.988,0.941
terse,50,verbatim,5,1.0,0.99,0.95
terse,100,paraphrased,5,1.0,0.988,0.941
terse,100,reformatted,5,1.0,0.99,0.95
terse,100,truncated,5,1.0,1.0,1.0
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.935,0.825
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.981,0.903
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
