threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,4527,0.0812,1.0,0.1502
0.1,400,1341,0.2298,1.0,0.3737
0.15,400,457,0.4667,1.0,0.6364
0.2,400,130,0.7547,1.0,0.8602
0.25,400,60,0.8696,1.0,0.9302
0.3,394,18,0.9563,0.985,0.9704
0.35,388,10,0.9749,0.97,0.9724
0.4,378,4,0.9895,0.945,0.9668
0.45,372,2,0.9947,0.93,0.9612
0.5,364,1,0.9973,0.91,0.9516
0.55,359,0,1.0,0.8975,0.946
0.6,350,0,1.0,0.875,0.9333
0.65,336,0,1.0,0.84,0.913
0.7,327,0,1.0,0.8175,0.8996
0.75,312,0,1.0,0.78,0.8764
0.8,299,0,1.0,0.7475,0.8555
0.85,284,0,1.0,0.71,0.8304
0.9,272,0,1.0,0.68,0.8095
0.95,252,0,1.0,0.63,0.773
1.0,237,0,1.0,0.5925,0.7441
