artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,0.6,0.438,0.234
code,25,reformatted,5,0.8,0.576,0.241
code,25,truncated,5,0.8,0.418,0.17
code,25,verbatim,5,0.8,0.746,0.319
code,50,paraphrased,5,0.8,0.647,0.28
code,50,reformatted,5,1.0,0.911,0.733
code,50,truncated,5,1.0,0.771,0.537
code,50,verbatim,5,1.0,0.988,0.938
code,100,paraphrased,5,0.8,0.722,0.276
code,100,reformatted,5,1.0,0.975,0.875
code,100,truncated,5,1.0,1.0,1.0
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.808,0.678
code,200,reformatted,5,1.0,1.0,1.0
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.924,0.682
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,0.8,0.544,0.333
prose,25,reformatted,5,0.8,0.666,0.273
prose,25,truncated,5,0.6,0.515,0.176
prose,25,verbatim,5,0.6,0.619,0.269
prose,50,paraphrased,5,1.0,0.6,0.44
prose,50,reformatted,5,1.0,0.812,0.543
prose,50,truncated,5,0.8,0.79,0.2
prose,50,verbatim,5,1.0,1.0,1.0
prose,100,paraphrased,5,0.6,0.613,0.256
prose,100,reformatted,5,1.0,0.983,0.917
prose,100,truncated,5,1.0,1.0,1.0
prose,100,verbatim,5,1.0,0.936,0.68
prose,200,paraphrased,5,1.0,0.955,0.857
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,paraphrased,5,1.0,1.0,1.0
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,0.6,0.435,0.205
structured,25,reformatted,5,1.0,0.803,0.524
structured,25,truncated,5,0.6,0.377,0.289
structured,25,verbatim,5,1.0,0.576,0.384
structured,50,paraphrased,5,1.0,0.756,0.512
structured,50,reformatted,5,1.0,0.984,0.921
structured,50,truncated,5,1.0,0.804,0.643
structured,50,verbatim,5,1.0,0.945,0.745
structured,100,paraphrased,5,1.0,0.813,0.657
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.973,0.864
structured,100,verbatim,5,1.0,0.985,0.923
structured,200,paraphrased,5,1.0,0.933,0.667
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.976,0.941
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,1.0,0.689,0.4
terse,25,reformatted,5,1.0,0.853,0.542
terse,25,truncated,5,0.8,0.607,0.278
terse,25,verbatim,5,1.0,0.781,0.397
terse,50,paraphrased,5,1.0,0.759,0.667
terse,50,reformatted,5,1.0,1.0,1.0
terse,50,truncated,5,1.0,0.989,0.947
terse,50,verbatim,5,1.0,1.0,1.0
terse,100,paraphrased,5,1.0,1.0,1.0
terse,100,reformatted,5,1.0,1.0,1.0
terse,100,truncated,5,1.0,1.0,1.0
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.943,0.826
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.989,0.944
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
