dir,n_runs,threshold,fp_hits,candidate_pairs
runs/corpus_all,40,0.05,5550,109739
runs/corpus_all,40,0.1,1970,109739
runs/corpus_all,40,0.15,774,109739
runs/corpus_all,40,0.2,366,109739
runs/corpus_all,40,0.25,214,109739
runs/corpus_all,40,0.3,132,109739
runs/corpus_all,40,0.35,89,109739
runs/corpus_all,40,0.4,63,109739
runs/corpus_all,40,0.45,37,109739
runs/corpus_all,40,0.5,21,109739
runs/corpus_all,40,0.55,13,109739
runs/corpus_all,40,0.6,8,109739
runs/corpus_all,40,0.65,2,109739
runs/corpus_all,40,0.7,1,109739
runs/corpus_all,40,0.75,0,109739
runs/corpus_all,40,0.8,0,109739
runs/corpus_all,40,0.85,0,109739
runs/corpus_all,40,0.9,0,109739
runs/corpus_all,40,0.95,0,109739
runs/corpus_all,40,1.0,0,109739
runs/a0,8,0.05,40,1702
runs/a0,8,0.1,27,1702
runs/a0,8,0.15,18,1702
runs/a0,8,0.2,14,1702
runs/a0,8,0.25,14,1702
runs/a0,8,0.3,12,1702
runs/a0,8,0.35,12,1702
runs/a0,8,0.4,12,1702
runs/a0,8,0.45,12,1702
runs/a0,8,0.5,11,1702
runs/a0,8,0.55,10,1702
runs/a0,8,0.6,8,1702
runs/a0,8,0.65,8,1702
runs/a0,8,0.7,8,1702
runs/a0,8,0.75,8,1702
runs/a0,8,0.8,5,1702
runs/a0,8,0.85,4,1702
runs/a0,8,0.9,0,1702
runs/a0,8,0.95,0,1702
runs/a0,8,1.0,0,1702
