threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,504,0.4425,1.0,0.6135
0.1,399,106,0.7901,0.9975,0.8818
0.15,398,44,0.9005,0.995,0.9454
0.2,395,6,0.985,0.9875,0.9863
0.25,386,3,0.9923,0.965,0.9785
0.3,378,2,0.9947,0.945,0.9692
0.35,371,0,1.0,0.9275,0.9624
0.4,363,0,1.0,0.9075,0.9515
0.45,350,0,1.0,0.875,0.9333
0.5,334,0,1.0,0.835,0.9101
0.55,326,0,1.0,0.815,0.8981
0.6,320,0,1.0,0.8,0.8889
0.65,309,0,1.0,0.7725,0.8717
0.7,284,0,1.0,0.71,0.8304
0.75,266,0,1.0,0.665,0.7988
0.8,249,0,1.0,0.6225,0.7673
0.85,223,0,1.0,0.5575,0.7159
0.9,202,0,1.0,0.505,0.6711
0.95,178,0,1.0,0.445,0.6159
1.0,163,0,1.0,0.4075,0.579
