artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,1.0,0.273,0.164
code,25,reformatted,5,0.8,0.498,0.141
code,25,truncated,5,0.8,0.384,0.0
code,25,verbatim,5,1.0,0.711,0.336
code,50,paraphrased,5,0.8,0.334,0.125
code,50,reformatted,5,1.0,0.547,0.43
code,50,truncated,5,1.0,0.727,0.484
code,50,verbatim,5,1.0,0.714,0.547
code,100,paraphrased,5,0.8,0.353,0.109
code,100,reformatted,5,1.0,0.569,0.422
code,100,truncated,5,1.0,0.602,0.492
code,100,verbatim,5,1.0,0.588,0.477
code,200,paraphrased,5,1.0,0.359,0.266
code,200,reformatted,5,1.0,0.683,0.547
code,200,truncated,5,1.0,0.67,0.609
code,200,verbatim,5,1.0,0.68,0.633
code,500,paraphrased,5,1.0,0.459,0.242
code,500,reformatted,5,1.0,0.645,0.633
code,500,truncated,5,1.0,0.691,0.547
code,500,verbatim,5,1.0,0.731,0.672
prose,25,paraphrased,5,0.8,0.286,0.117
prose,25,reformatted,5,0.8,0.309,0.109
prose,25,truncated,5,0.8,0.345,0.078
prose,25,verbatim,5,0.6,0.302,0.141
prose,50,paraphrased,5,0.6,0.25,0.117
prose,50,reformatted,5,1.0,0.266,0.227
prose,50,truncated,5,0.8,0.369,0.078
prose,50,verbatim,5,1.0,0.483,0.273
prose,100,paraphrased,5,0.6,0.197,0.062
prose,100,reformatted,5,1.0,0.448,0.328
prose,100,truncated,5,1.0,0.402,0.203
prose,100,verbatim,5,1.0,0.505,0.242
prose,200,paraphrased,5,1.0,0.489,0.312
prose,200,reformatted,5,1.0,0.609,0.492
prose,200,truncated,5,1.0,0.534,0.484
prose,200,verbatim,5,1.0,0.547,0.438
prose,500,paraphrased,5,1.0,0.606,0.5
prose,500,reformatted,5,1.0,0.672,0.539
prose,500,truncated,5,1.0,0.62,0.453
prose,500,verbatim,5,1.0,0.669,0.609
structured,25,paraphrased,5,0.8,0.272,0.141
structured,25,reformatted,5,1.0,0.659,0.289
structured,25,truncated,5,0.6,0.267,0.0
structured,25,verbatim,5,1.0,0.57,0.344
structured,50,paraphrased,5,1.0,0.517,0.359
structured,50,reformatted,5,1.0,0.691,0.562
structured,50,truncated,5,1.0,0.758,0.562
structured,50,verbatim,5,1.0,0.798,0.68
structured,100,paraphrased,5,1.0,0.38,0.258
structured,100,reformatted,5,1.0,0.652,0.562
structured,100,truncated,5,1.0,0.769,0.672
structured,100,verbatim,5,1.0,0.602,0.516
structured,200,paraphrased,5,1.0,0.488,0.359
structured,200,reformatted,5,1.0,0.77,0.688
structured,200,truncated,5,1.0,0.641,0.57
structured,200,verbatim,5,1.0,0.677,0.594
structured,500,paraphrased,5,1.0,0.439,0.352
structured,500,reformatted,5,1.0,0.787,0.57
structured,500,truncated,5,1.0,0.78,0.648
structured,500,verbatim,5,1.0,0.836,0.797
terse,25,paraphrased,5,1.0,0.434,0.234
terse,25,reformatted,5,1.0,0.622,0.328
terse,25,truncated,5,1.0,0.42,0.266
terse,25,verbatim,5,1.0,0.547,0.375
terse,50,paraphrased,5,1.0,0.403,0.25
terse,50,reformatted,5,1.0,0.525,0.328
terse,50,truncated,5,1.0,0.695,0.461
terse,50,verbatim,5,1.0,0.534,0.328
terse,100,paraphrased,5,1.0,0.444,0.344
terse,100,reformatted,5,1.0,0.469,0.273
terse,100,truncated,5,1.0,0.47,0.328
terse,100,verbatim,5,1.0,0.533,0.43
terse,200,paraphrased,5,1.0,0.431,0.25
terse,200,reformatted,5,1.0,0.53,0.375
terse,200,truncated,5,1.0,0.55,0.375
terse,200,verbatim,5,1.0,0.495,0.375
terse,500,paraphrased,5,1.0,0.573,0.453
terse,500,reformatted,5,1.0,0.662,0.578
terse,500,truncated,5,1.0,0.677,0.578
terse,500,verbatim,5,1.0,0.7,0.625
