artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,0.8,0.432,0.211
code,25,reformatted,5,0.8,0.551,0.23
code,25,truncated,5,1.0,0.407,0.3
code,25,verbatim,5,1.0,0.749,0.345
code,50,paraphrased,5,0.8,0.637,0.185
code,50,reformatted,5,1.0,0.883,0.795
code,50,truncated,5,1.0,0.797,0.632
code,50,verbatim,5,1.0,0.957,0.825
code,100,paraphrased,5,1.0,0.686,0.271
code,100,reformatted,5,1.0,0.952,0.873
code,100,truncated,5,1.0,1.0,1.0
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.725,0.6
code,200,reformatted,5,1.0,1.0,1.0
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,1.0,1.0
code,500,paraphrased,5,1.0,0.888,0.714
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,1.0,0.53,0.35
prose,25,reformatted,5,0.8,0.495,0.15
prose,25,truncated,5,0.8,0.492,0.225
prose,25,verbatim,5,1.0,0.539,0.275
prose,50,paraphrased,5,1.0,0.533,0.4
prose,50,reformatted,5,1.0,0.789,0.581
prose,50,truncated,5,0.8,0.602,0.235
prose,50,verbatim,5,1.0,0.867,0.653
prose,100,paraphrased,5,1.0,0.549,0.325
prose,100,reformatted,5,1.0,0.929,0.84
prose,100,truncated,5,1.0,0.915,0.625
prose,100,verbatim,5,1.0,0.921,0.605
prose,200,paraphrased,5,1.0,0.882,0.575
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,0.995,0.975
prose,500,paraphrased,5,1.0,1.0,1.0
prose,500,reformatted,5,1.0,0.995,0.975
prose,500,truncated,5,1.0,0.995,0.975
prose,500,verbatim,5,1.0,0.995,0.975
structured,25,paraphrased,5,0.8,0.427,0.138
structured,25,reformatted,5,1.0,0.674,0.373
structured,25,truncated,5,1.0,0.359,0.25
structured,25,verbatim,5,1.0,0.551,0.397
structured,50,paraphrased,5,1.0,0.747,0.441
structured,50,reformatted,5,1.0,0.985,0.927
structured,50,truncated,5,1.0,0.767,0.596
structured,50,verbatim,5,1.0,0.932,0.746
structured,100,paraphrased,5,1.0,0.793,0.625
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,0.966,0.85
structured,100,verbatim,5,1.0,0.979,0.947
structured,200,paraphrased,5,1.0,0.86,0.615
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,paraphrased,5,1.0,0.848,0.691
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,1.0,0.635,0.325
terse,25,reformatted,5,1.0,0.727,0.491
terse,25,truncated,5,1.0,0.509,0.275
terse,25,verbatim,5,1.0,0.552,0.397
terse,50,paraphrased,5,1.0,0.736,0.625
terse,50,reformatted,5,1.0,0.925,0.75
terse,50,truncated,5,1.0,0.991,0.956
terse,50,verbatim,5,1.0,0.935,0.675
terse,100,paraphrased,5,1.0,0.968,0.9
terse,100,reformatted,5,1.0,0.97,0.9
terse,100,truncated,5,1.0,1.0,1.0
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,paraphrased,5,1.0,0.91,0.825
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,0.96,0.8
terse,200,verbatim,5,1.0,1.0,1.0
terse,500,paraphrased,5,1.0,0.989,0.946
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
