threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,1438,0.2176,1.0,0.3575
0.1,400,374,0.5168,1.0,0.6814
0.15,399,154,0.7215,0.9975,0.8374
0.2,397,22,0.9475,0.9925,0.9695
0.25,393,12,0.9704,0.9825,0.9764
0.3,387,5,0.9872,0.9675,0.9773
0.35,380,3,0.9922,0.95,0.9706
0.4,373,0,1.0,0.9325,0.9651
0.45,359,0,1.0,0.8975,0.946
0.5,351,0,1.0,0.8775,0.9348
0.55,338,0,1.0,0.845,0.916
0.6,333,0,1.0,0.8325,0.9086
0.65,317,0,1.0,0.7925,0.8842
0.7,304,0,1.0,0.76,0.8636
0.75,292,0,1.0,0.73,0.8439
0.8,281,0,1.0,0.7025,0.8253
0.85,263,0,1.0,0.6575,0.7934
0.9,250,0,1.0,0.625,0.7692
0.95,232,0,1.0,0.58,0.7342
1.0,214,0,1.0,0.535,0.6971
