dir,n_runs,threshold,fp_hits,candidate_pairs
data/runs/corpus_all,40,0.05,623,83849
data/runs/corpus_all,40,0.1,107,83849
data/runs/corpus_all,40,0.15,48,83849
data/runs/corpus_all,40,0.2,8,83849
data/runs/corpus_all,40,0.25,4,83849
data/runs/corpus_all,40,0.3,2,83849
data/runs/corpus_all,40,0.35,0,83849
data/runs/corpus_all,40,0.4,0,83849
data/runs/corpus_all,40,0.45,0,83849
data/runs/corpus_all,40,0.5,0,83849
data/runs/corpus_all,40,0.55,0,83849
data/runs/corpus_all,40,0.6,0,83849
data/runs/corpus_all,40,0.65,0,83849
data/runs/corpus_all,40,0.7,0,83849
data/runs/corpus_all,40,0.75,0,83849
data/runs/corpus_all,40,0.8,0,83849
data/runs/corpus_all,40,0.85,0,83849
data/runs/corpus_all,40,0.9,0,83849
data/runs/corpus_all,40,0.95,0,83849
data/runs/corpus_all,40,1.0,0,83849
data/runs/a0,8,0.05,36,870
data/runs/a0,8,0.1,18,870
data/runs/a0,8,0.15,18,870
data/runs/a0,8,0.2,14,870
data/runs/a0,8,0.25,12,870
data/runs/a0,8,0.3,10,870
data/runs/a0,8,0.35,9,870
data/runs/a0,8,0.4,6,870
data/runs/a0,8,0.45,5,870
data/runs/a0,8,0.5,4,870
data/runs/a0,8,0.55,3,870
data/runs/a0,8,0.6,3,870
data/runs/a0,8,0.65,0,870
data/runs/a0,8,0.7,0,870
data/runs/a0,8,0.75,0,870
data/runs/a0,8,0.8,0,870
data/runs/a0,8,0.85,0,870
data/runs/a0,8,0.9,0,870
data/runs/a0,8,0.95,0,870
data/runs/a0,8,1.0,0,870
data/runs/a0_long,8,0.05,849,7459
data/runs/a0_long,8,0.1,555,7459
data/runs/a0_long,8,0.15,352,7459
data/runs/a0_long,8,0.2,227,7459
data/runs/a0_long,8,0.25,177,7459
data/runs/a0_long,8,0.3,135,7459
data/runs/a0_long,8,0.35,113,7459
data/runs/a0_long,8,0.4,107,7459
data/runs/a0_long,8,0.45,100,7459
data/runs/a0_long,8,0.5,93,7459
data/runs/a0_long,8,0.55,86,7459
data/runs/a0_long,8,0.6,77,7459
data/runs/a0_long,8,0.65,71,7459
data/runs/a0_long,8,0.7,57,7459
data/runs/a0_long,8,0.75,52,7459
data/runs/a0_long,8,0.8,41,7459
data/runs/a0_long,8,0.85,30,7459
data/runs/a0_long,8,0.9,22,7459
data/runs/a0_long,8,0.95,15,7459
data/runs/a0_long,8,1.0,6,7459
