artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,paraphrased,5,1.0,0.44,0.245
code,25,reformatted,5,1.0,0.575,0.241
code,25,truncated,5,0.8,0.388,0.17
code,25,verbatim,5,1.0,0.71,0.319
code,50,paraphrased,5,1.0,0.649,0.275
code,50,reformatted,5,1.0,0.778,0.625
code,50,truncated,5,1.0,0.759,0.537
code,50,verbatim,5,1.0,0.896,0.65
code,100,paraphrased,5,1.0,0.675,0.2
code,100,reformatted,5,1.0,0.826,0.65
code,100,truncated,5,1.0,0.99,0.95
code,100,verbatim,5,1.0,1.0,1.0
code,200,paraphrased,5,1.0,0.705,0.5
code,200,reformatted,5,1.0,0.975,0.9
code,200,truncated,5,1.0,1.0,1.0
code,200,verbatim,5,1.0,0.96,0.8
code,500,paraphrased,5,1.0,0.875,0.677
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,1.0,1.0
code,500,verbatim,5,1.0,1.0,1.0
prose,25,paraphrased,5,1.0,0.517,0.2
prose,25,reformatted,5,1.0,0.491,0.204
prose,25,truncated,5,0.8,0.518,0.026
prose,25,verbatim,5,0.8,0.429,0.134
prose,50,paraphrased,5,1.0,0.57,0.425
prose,50,reformatted,5,1.0,0.732,0.375
prose,50,truncated,5,0.8,0.655,0.075
prose,50,verbatim,5,1.0,0.921,0.75
prose,100,paraphrased,5,1.0,0.629,0.35
prose,100,reformatted,5,1.0,0.87,0.675
prose,100,truncated,5,1.0,0.865,0.675
prose,100,verbatim,5,1.0,0.975,0.925
prose,200,paraphrased,5,1.0,0.855,0.575
prose,200,reformatted,5,1.0,0.995,0.975
prose,200,truncated,5,1.0,0.985,0.925
prose,200,verbatim,5,1.0,0.99,0.95
prose,500,paraphrased,5,1.0,0.985,0.925
prose,500,reformatted,5,1.0,0.967,0.833
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,paraphrased,5,1.0,0.418,0.2
structured,25,reformatted,5,1.0,0.664,0.532
structured,25,truncated,5,1.0,0.378,0.277
structured,25,verbatim,5,1.0,0.519,0.384
structured,50,paraphrased,5,1.0,0.71,0.524
structured,50,reformatted,5,1.0,0.98,0.9
structured,50,truncated,5,1.0,0.706,0.5
structured,50,verbatim,5,1.0,0.942,0.729
structured,100,paraphrased,5,1.0,0.836,0.657
structured,100,reformatted,5,1.0,0.97,0.85
structured,100,truncated,5,1.0,0.848,0.775
structured,100,verbatim,5,1.0,0.905,0.675
structured,200,paraphrased,5,1.0,0.807,0.61
structured,200,reformatted,5,1.0,0.976,0.88
structured,200,truncated,5,1.0,1.0,1.0
structured,200,verbatim,5,1.0,0.995,0.975
structured,500,paraphrased,5,1.0,0.847,0.659
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,paraphrased,5,1.0,0.686,0.325
terse,25,reformatted,5,1.0,0.749,0.542
terse,25,truncated,5,1.0,0.42,0.25
terse,25,verbatim,5,1.0,0.644,0.371
terse,50,paraphrased,5,1.0,0.786,0.698
terse,50,reformatted,5,1.0,0.979,0.897
terse,50,truncated,5,1.0,0.931,0.78
terse,50,verbatim,5,1.0,0.9,0.65
terse,100,paraphrased,5,1.0,0.984,0.922
terse,100,reformatted,5,1.0,1.0,1.0
terse,100,truncated,5,1.0,0.985,0.95
terse,100,verbatim,5,1.0,0.995,0.975
terse,200,paraphrased,5,1.0,0.957,0.837
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,0.985,0.925
terse,200,verbatim,5,1.0,0.99,0.975
terse,500,paraphrased,5,1.0,0.961,0.85
terse,500,reformatted,5,1.0,1.0,1.0
terse,500,truncated,5,1.0,1.0,1.0
terse,500,verbatim,5,1.0,1.0,1.0
